STATION ID,SAMPLING STATION,LONGITUDE,LATITUDE
S1,Kallukandam,75.082,12.526
S2,Kammankaya,75.081,12.525
S3,Edaneer,75.072,12.522
S4,Madam,75.07,12.522
S5,Edneerkunjar,75.067,12.522
S6,Chappady,75.054,12.529
S7,Pady Bridge,75.051,12.529
S8,Ethirthodu,75.045,12.527
S9,Padybellur,75.035,12.526
S10,Alampady,75.028,12.529
S11,Eruthumkadav,75.025,12.536
S12,Barikkad,75.024,12.539
S13,Kopa,75.021,12.544
S14,Aranthodu,75.012,12.549
S15,Chenakkad,75.01,12.554
S16,Madhur Temple,75.003,12.557
S17,Patla,74.998,12.556
S18,Manjathadukka,74.995,12.56
S19,Patla tributary,74.993,12.561
S20,Maippady,74.977,12.568
S21,Kambar,74.967,12.566
S22,Kotakkunnu,74.959,12.563
S23,MogralKadavath,74.955,12.56
S24,Mogral Bridge,74.957,12.549
S25,Azad Nagar,,
