station_id,temperature,pH,DO,BOD,chlorides,alkalinity
S01,29,6.52,6.4,0.3,62,54
S02,29.5,6.71,6.6,0.4,87,52
S03,28,6.9,6.8,1.1,264,40
S04,28,7,7.3,1.4,276,64
S05,29,6.81,7.6,1.2,270,80
S06,30,6.42,6.5,1.1,276,114
S07,33,6.3,7.1,0.5,287,40
S08,29.5,7.1,7.5,0.2,299,25
S09,28.5,6.63,7.4,0.7,291,20
S10,30,6.82,6.7,0.6,299,114
S11,29.5,6.67,7.2,0.2,88,60
S12,29,6.63,7.4,0.3,276,54
S13,29,6.81,7.6,0.9,381,14
S14,29,7.1,6.9,1.4,241,58
S15,30,6.51,6.9,0.4,210,10
S16,30,6.76,7.1,0.4,428,32
S17,29,6.67,7.2,0.8,18,40
S18,29,6.2,5.9,2,264,20
S19,29,6.84,6.9,0.9,165,30
S20,29,6.76,7.6,0.3,920,80
S21,29,6.62,7.2,0.7,1300,100
S22,29,6.51,7,0.7,11100,40
S23,29,6.54,6.9,1.4,14300,54
S24,30,6.35,6.4,1.6,13899,86
